Produto,Demanda,Saldo,Dias para o fim
LEITE DE AVEIA,-0.35920147500000005,5.839999999999968,16.0
LEITE DE SOJA,-0.23010411764705882,2.6645352591003757e-15,0.0
LEITE INTEGRAL,-5.120654443333333,50.11199999999644,10.0
LEITE ZERO LACTOSE,-0.23959224236760124,5.690000000000023,24.0
LUVA PARA COPO,-2.8978333333333333,174.70000000006098,60.0
MARSHMALLOW,-0.02676250000000001,0.40299999999999336,15.0
MARSHMALLOW TORÇÃO,-0.006666666666666667,0.09200000000000011,14.0
MATCHA,-0.13418983954999994,2.6867999999999945,20.0
MEL DE ABELHA,-0.057800000000000004,-0.4500000000000064,0.0
MEXEDOR DE MADEIRA,-7.007416666666666,210.30000000001974,30.0
MINI DONUTS CHOC MP,-1.625,0.0,0.0
MINI DONUTS DOCE DE LEITE MP,-1.6666666666666667,0.0,0.0
MINI DONUTS FRUTAS VERM MP,-1.3333333333333333,0.0,0.0
MINI PAO DE QUEIJO MP,-10.753524489795918,30.000000000000114,3.0
MISTURA CHOCOLATE QUENTE 200G,-1.1111111111111112,2.0,2.0
MISTURA FRAPPE CAPPUCCINO 300G,-1.0,0.0,0.0
MUFFIN BANOFFEE MP,-1.3900426666666665,3.904800000000023,3.0
MUFFIN BAUNILHA C/ GOTAS MP,-1.1625,11.0,9.0
MUFFIN CHOCOLATE MP,-1.1133333333333333,17.0,15.0
MUFFIN IFOOD,-1.0,-2.0,0.0
MUFFIN PANETONNE,-1.0,0.0,0.0
PALITO WAFER OURO BRANCO,-1.1875,11.0,9.0
PASTEL CARNE PICANTE,-1.3636363636363633,0.0,0.0
PAÇOCA,-0.0890393376999999,1.0924000000000085,12.0
POP BERRIES MP,-1.5555555555555554,0.0,0.0
POP CHOCOCAKE MP,-1.4615384615384615,0.0,0.0
POP CHOCOLEITE MP,-1.2,0.0,0.0
POP RAINBOW MP,-1.1818181818181819,0.0,0.0
PORTA COPOS,-1.45,545.0,376.0
POTE PARA CHANTILLY VIAGEM,,55.0,
PRATO DESCARTÁVEL,-1.25,95.0,76.0
PÃO DE BATATA C/ REQUEIJÃO,-1.4541666666666666,0.0,0.0
PÃO DE QUEIJO MP,-4.216666666666667,-37.0,0.0
RECH WAFFLE CHOC LEITE MP,-2.6750000000000003,-15.05,0.0
RECH WAFFLE FRUTAS VERM MP,-0.06666666666666667,0.8,12.0
SACHÊ DE KETCHUP,-2.3204630833333333,33.42798000000596,14.0
SACHÊ DE MOSTARDA,-0.6961389250000001,11.818394000005497,17.0
SACO KRAFT,-2.413333333333333,536.0,222.0
SAQUINHO PARA SALGADOS,-23.204630833333333,1981.2798000000003,85.0
SUCO MAGUARY LARANJA 200ML,-1.0,0.0,0.0
SUCO MAGUARY UVA 200ML,-2.0,0.0,0.0
Saco de lixo,,2.0,
TAMPA BOLHA PLÁSTICA,-10.3402785,246.0,24.0
TAMPA PLÁST PARA COPO G,-5.798516333333334,310.00000000000045,53.0
TAMPA PLÁST PARA COPO M,-11.75,229.0,19.0
TAMPA PLÁST PARA COPO P,-6.598083333333332,661.1000000000599,100.0
TAMPA RETA PLÁSTICA,-8.766616833333332,537.9999999999995,61.0
TESTE,,17.0,
TOALHA INTERFOLHAS,,3.0,
TROUXINHA DE CARNE SECA MP,-1.4705882352941178,0.0,0.0
WAFFLE MP,-1.25,-5.0,0.0
XAROPE AVELÃ,-0.10090000000000002,2.369000000000014,23.0
XAROPE BANANA,-0.04397166666666667,1.2939999999999952,29.0
XAROPE BAUNILHA,-0.09459833333333334,1.5130000000000088,16.0
XAROPE CARAMELO,-0.1402660586666667,1.0660000000000025,8.0
XAROPE CARAMELO SALGADO,-0.07661000000000001,0.6280000000000072,8.0
XAROPE CEREJA,-0.053967131782945744,1.1760000000000002,22.0
XAROPE CHAI,-0.06853333333333333,2.5750000000000135,38.0
XAROPE CHOCOLATE,-0.029122352000000004,2.269000000000003,78.0
XAROPE CHOCOLATE BRANCO,-0.030000000000000002,0.4740000000000004,16.0
XAROPE LIMÃO SICILIANO,-0.25837499999999997,-0.8740000000000023,0.0
XAROPE MATTE,-0.053119408571428564,2.0560000000000027,39.0
XAROPE MAÇÃ VERDE,-0.06457416666666667,1.0500000000000007,16.0
XAROPE MORANGO,-0.05998250000000001,-0.79999999999999,0.0
XAROPE PISTACHE,-0.047658644067796616,0.5700000000000003,12.0
XAROPE ROMÃ,-0.06700454545454546,2.012000000000001,30.0
XAROPE UVA,,1.0,
"ÁGUA S/ GÁS 1,5L",,18.0,
ÁGUA TÔNICA MP,-1.12625,0.0,0.0
ÁLCOOL,,2.0,
