Produto,Lista,Embalagem,Descontinuado,Unidade,Lead,Período,Segurança,Preço
MISTURA FRAPPE CAPPUCCINO 300G,Go Coffee Secos,1.0,Sim,Un,5.0,7.0,0.0,
MISTURA CHOCOLATE QUENTE 200G,Go Coffee Secos,1.0,Não,Un,5.0,7.0,0.0,
MUFFIN BANOFFEE MP,Go Coffee Congelados,6.0,Não,Un,9.0,28.0,0.0,17.85
MUFFIN BAUNILHA C/ GOTAS MP,Go Coffee Congelados,6.0,Não,Un,9.0,28.0,0.0,18.37
MUFFIN CHOCOLATE MP,Go Coffee Congelados,6.0,Não,Un,9.0,28.0,0.0,18.37
MUFFIN PANETONNE,,,Não,,,,,
PAÇOCA,Lista da semana,,Não,,3.0,7.0,,
PALITO WAFER OURO BRANCO,,,Não,,,,,
PÃO DE BATATA C/ REQUEIJÃO,,,Não,,,,,
PÃO DE QUEIJO MP,Forno de Minas,102.0,Não,Un,3.0,7.0,7.0,272.84
POP BERRIES MP,Go Coffee Secos,12.0,Sim,Un,5.0,7.0,0.0,
POP CHOCOCAKE MP,Go Coffee Secos,12.0,Sim,Un,5.0,7.0,0.0,
POP CHOCOLEITE MP,Go Coffee Secos,12.0,Sim,Un,5.0,7.0,0.0,
POP RAINBOW MP,Go Coffee Secos,12.0,Sim,Un,5.0,7.0,0.0,
PORTA COPOS,Maxirep,500.0,Não,Un,7.0,28.0,7.0,428.82
POTE PARA CHANTILLY VIAGEM,,,Não,,,,,
SACHÊ DE KETCHUP,Lista da semana,,Não,,3.0,7.0,,
SACHÊ DE MOSTARDA,Lista da semana,,Não,,3.0,7.0,,
SACO KRAFT,Maxirep,250.0,Não,Un,7.0,28.0,7.0,151.05
SAQUINHO PARA SALGADOS,Maxirep,500.0,Não,Un,7.0,28.0,7.0,42.77
SUCO MAGUARY LARANJA 200ML,RR Distribuidora,,Não,,1.0,1.0,0.0,
SUCO MAGUARY UVA 200ML,RR Distribuidora,,Não,,1.0,1.0,0.0,
TAMPA BOLHA PLÁSTICA,Monouso,500.0,Não,,7.0,28.0,7.0,142.49
TAMPA PLÁST PARA COPO G,Monouso,500.0,Não,,7.0,28.0,0.0,132.55
TAMPA PLÁST PARA COPO M,Monouso,500.0,Não,,7.0,28.0,0.0,123.22
TAMPA PLÁST PARA COPO P,Monouso,500.0,Não,,7.0,28.0,0.0,89.81
TAMPA RETA PLÁSTICA,Monouso,500.0,Não,,7.0,28.0,0.0,144.86
XAROPE AVELÃ,Flavors,1.0,Não,L,5.0,28.0,7.0,65.0
XAROPE BANANA,Go Coffee Secos,1.0,Sim,L,5.0,7.0,4.0,38.0
XAROPE BAUNILHA,Go Coffee Secos,1.0,Não,L,5.0,7.0,7.0,38.0
XAROPE CARAMELO,Go Coffee Secos,1.0,Não,L,5.0,7.0,7.0,38.0
XAROPE CARAMELO SALGADO,Go Coffee Secos,1.0,Não,L,5.0,7.0,4.0,38.0
XAROPE CEREJA,Go Coffee Secos,1.0,Não,L,5.0,7.0,4.0,38.0
XAROPE CHAI,Flavors,1.0,Não,L,5.0,28.0,7.0,65.0
XAROPE CHOCOLATE,Flavors,1.0,Não,L,5.0,28.0,0.0,65.0
XAROPE CHOCOLATE BRANCO,Go Coffee Secos,1.0,Não,L,5.0,7.0,4.0,38.0
XAROPE LIMÃO SICILIANO,Go Coffee Secos,1.0,Não,L,5.0,7.0,7.0,38.0
XAROPE MAÇÃ VERDE,Go Coffee Secos,1.0,Não,L,5.0,7.0,7.0,38.0
XAROPE MATTE,Go Coffee Secos,1.0,Não,L,5.0,7.0,4.0,38.0
XAROPE MORANGO,Go Coffee Secos,1.0,Não,L,5.0,7.0,4.0,38.0
XAROPE PISTACHE,Go Coffee Secos,1.0,Não,L,5.0,7.0,4.0,38.0
XAROPE ROMÃ,Flavors,1.0,Não,L,5.0,28.0,0.0,65.0
ÁLCOOL,,,,,,,,
BENS DE BAIXO VALOR,,,,,,,,
BICARBONATO,,,,,,,,
DESINFETANTE,,,,,,,,
DETERGENTE,,,,,,,,
DONUT RING DOCE DE LEITE,,,,,,,,
ESPONJA,,,,,,,,
ESPRESSO GO - P,,,,,,,,
MUFFIN IFOOD,,,,,,,,
Saco de lixo,,,,,,,,
TESTE,,,,,,,,
TOALHA INTERFOLHAS,,,,,,,,
COOKIE NINHO MP,,,,,,,,
COOKIE VEGAN MP,,,,,,,,
AÇÚCAR CRISTAL VERDE,,,,,,,,
BAGUETTE CARNE E CHEDDAR,,,,,,,,
FOLHADO DE CAMARÃO,,,,,,,,
GO COPA,,,,,,,,
